iter	RMSE
0	3970.881781
1	3905.464326
2	3841.019945
3	3777.842508
4	3716.045982
5	3655.706485
6	3595.991945
7	3537.237245
8	3479.498889
9	3422.786865
10	3367.142327
11	3312.244846
12	3258.423259
13	3205.696032
14	3154.267794
15	3103.317511
16	3053.375278
17	3004.572279
18	2956.260745
19	2908.802386
20	2862.339113
21	2816.557308
22	2771.376988
23	2727.518906
24	2683.999265
25	2641.444262
26	2599.837838
27	2558.906926
28	2518.483892
29	2478.862856
30	2439.876369
31	2401.689975
32	2364.20106
33	2327.570008
34	2291.594868
35	2255.791805
36	2221.16303
37	2187.100414
38	2153.703815
39	2120.633218
40	2088.267175
41	2056.33029
42	2025.466185
43	1994.643644
44	1964.770189
45	1935.184557
46	1906.458116
47	1878.060935
48	1850.106465
49	1822.848577
50	1796.10556
51	1769.758983
52	1743.594017
53	1717.929824
54	1693.056877
55	1668.642981
56	1644.745904
57	1621.542435
58	1598.504159
59	1575.76477
60	1553.620374
61	1531.948828
62	1510.50074
63	1489.628235
64	1469.275044
65	1449.042949
66	1429.124988
67	1409.943138
68	1390.812523
69	1372.339162
70	1354.178084
71	1336.223189
72	1318.837898
73	1301.59174
74	1284.833254
75	1268.521883
76	1252.529881
77	1236.74313
78	1221.177166
79	1205.895902
80	1190.842719
81	1176.372364
82	1161.931468
83	1147.838045
84	1134.043985
85	1120.503148
86	1107.457563
87	1094.758783
88	1082.069014
89	1069.624729
90	1057.484558
91	1045.523407
92	1033.753234
93	1022.454404
94	1011.409607
95	1000.476746
96	989.7436153
97	979.4055523
98	969.2799738
99	959.5728245
100	950.1751561
101	940.8208693
102	931.6362629
103	922.4418488
104	913.5696428
105	904.8803708
106	896.2863196
107	888.2657793
108	880.2275101
109	872.3117472
110	864.5725419
111	857.0467471
112	849.5606602
113	842.3224536
114	835.2087844
115	828.3193455
116	821.5415537
117	815.045628
118	808.7868152
119	802.3305143
120	796.2190009
121	790.4447072
122	784.5301867
123	778.8383701
124	773.4441122
125	767.942702
126	762.6888988
127	757.6134819
128	752.5201845
129	747.7144844
130	742.917385
131	738.1687321
132	733.6074972
133	729.1457483
134	725.0182799
135	720.7652327
136	716.7153788
137	712.6505589
138	708.5983133
139	704.7314157
140	700.9885108
141	697.4581366
142	693.9436727
143	690.6610585
144	687.3940958
145	684.2529883
146	681.2156898
147	678.1203358
148	675.2216337
149	672.2930523
150	669.474475
151	666.6353235
152	663.9719646
153	661.3047167
154	658.7103083
155	656.3388564
156	653.9018595
157	651.4972065
158	649.0780537
159	646.7931644
160	644.6251452
161	642.6295581
162	640.4563681
163	638.3833429
164	636.4601476
165	634.5025578
166	632.6351918
167	630.7712573
168	628.9312587
169	627.1248069
170	625.536181
171	623.8474687
172	622.2308219
173	620.6980427
174	619.2425872
175	617.7649642
176	616.3058279
177	614.8770316
178	613.5028278
179	612.1719407
180	610.9881311
181	609.6963875
182	608.4266333
183	607.2818177
184	606.1571909
185	604.9816738
186	603.8884794
187	602.7813014
188	601.6269773
189	600.518811
190	599.6105306
191	598.616164
192	597.7539889
193	596.8389309
194	595.9492083
195	595.1113018
196	594.2803589
197	593.4190429
198	592.6609629
199	591.8810353
200	591.0271272
201	590.2533054
202	589.5774807
203	588.8315438
204	588.0873075
205	587.4552765
206	586.7738338
207	586.0790507
208	585.4015287
209	584.7480102
210	584.1295159
211	583.6091183
212	583.0229886
213	582.5192568
214	582.0006763
215	581.4861118
216	580.9690701
217	580.4578693
218	579.9848045
219	579.4945496
220	579.0306661
221	578.6371953
222	578.1561207
223	577.6623701
224	577.2465994
225	576.8330187
226	576.3882259
227	576.0021765
228	575.6002298
229	575.2913128
230	574.8532979
231	574.5206277
232	574.1612333
233	573.8587341
234	573.5247283
235	573.2056338
236	572.8616308
237	572.5368989
238	572.2097892
239	571.9412533
240	571.6176258
241	571.3527508
242	571.092717
243	570.7898798
244	570.5189943
245	570.2628469
246	569.9976611
247	569.7223831
248	569.4676534
249	569.1807337
250	568.896104
251	568.6405176
252	568.3497481
253	568.1091228
254	567.848998
255	567.61041
256	567.4159327
257	567.2120752
258	566.9159644
259	566.662489
260	566.4801944
261	566.2616486
262	566.0504609
263	565.8710283
264	565.6173613
265	565.4235527
266	565.2407352
267	565.0934812
268	564.8755133
269	564.7119667
270	564.5434142
271	564.3448782
272	564.1596533
273	563.9845159
274	563.7773971
275	563.6128796
276	563.4349733
277	563.2706809
278	563.1199044
279	562.9843521
280	562.8247871
281	562.6584747
282	562.4915052
283	562.3624336
284	562.2021931
285	562.0429549
286	561.9003071
287	561.7779551
288	561.670217
289	561.5198501
290	561.4164474
291	561.264447
292	561.1208144
