iter	Passed	Remaining
0	26	18539
1	54	19050
2	85	19895
3	117	20433
4	146	20332
5	176	20458
6	208	20630
7	241	20908
8	281	21617
9	330	22814
10	364	22855
11	398	22859
12	431	22822
13	463	22709
14	495	22630
15	527	22569
16	553	22243
17	587	22243
18	619	22219
19	652	22174
20	681	22027
21	716	22074
22	747	21990
23	783	22054
24	829	22396
25	863	22395
26	896	22340
27	928	22281
28	958	22168
29	994	22220
30	1026	22148
31	1057	22070
32	1088	22004
33	1121	21975
34	1151	21877
35	1186	21893
36	1218	21832
37	1249	21774
38	1281	21725
39	1314	21692
40	1348	21676
41	1381	21640
42	1413	21599
43	1445	21547
44	1476	21494
45	1506	21415
46	1536	21344
47	1568	21302
48	1599	21247
49	1633	21230
50	1665	21199
51	1694	21122
52	1732	21155
53	1763	21099
54	1796	21062
55	1828	21023
56	1859	20974
57	1890	20926
58	1921	20879
59	1954	20848
60	1986	20810
61	2020	20787
62	2049	20727
63	2081	20686
64	2116	20676
65	2176	20908
66	2213	20914
67	2246	20875
68	2282	20872
69	2313	20823
70	2343	20765
71	2377	20736
72	2408	20689
73	2440	20641
74	2472	20607
75	2505	20574
76	2539	20545
77	2570	20495
78	2602	20454
79	2635	20421
80	2666	20377
81	2696	20322
82	2730	20295
83	2760	20243
84	2792	20203
85	2826	20178
86	2859	20150
87	2891	20110
88	2925	20083
89	2957	20044
90	2991	20019
91	3026	20004
92	3064	20003
93	3097	19967
94	3131	19943
95	3164	19912
96	3198	19884
97	3245	19936
98	3282	19928
99	3316	19898
100	3346	19848
101	3380	19818
102	3412	19780
103	3447	19754
104	3480	19724
105	3536	19815
106	3577	19828
107	3612	19803
108	3647	19779
109	3681	19743
110	3713	19707
111	3747	19676
112	3780	19637
113	3813	19600
114	3849	19581
115	3881	19539
116	3913	19501
117	3946	19463
118	3975	19409
119	4008	19372
120	4040	19334
121	4073	19298
122	4107	19267
123	4141	19235
124	4176	19210
125	4208	19172
126	4240	19132
127	4272	19094
128	4311	19082
129	4348	19067
130	4383	19038
131	4419	19015
132	4449	18970
133	4481	18929
134	4507	18865
135	4540	18830
136	4573	18795
137	4607	18762
138	4641	18732
139	4673	18695
140	4708	18667
141	4739	18625
142	4772	18589
143	4805	18555
144	4838	18519
145	4870	18479
146	4939	18581
147	4970	18540
148	5002	18497
149	5037	18469
150	5068	18426
151	5102	18396
152	5134	18357
153	5166	18318
154	5198	18277
155	5233	18251
156	5265	18211
157	5300	18182
158	5336	18156
159	5368	18120
160	5401	18084
161	5433	18043
162	5465	18005
163	5496	17965
164	5530	17930
165	5566	17907
166	5601	17877
167	5635	17844
168	5668	17809
169	5702	17778
170	5734	17738
171	5765	17697
172	5800	17669
173	5832	17631
174	5862	17586
175	5896	17555
176	5927	17515
177	5959	17477
178	5993	17443
179	6025	17407
180	6055	17364
181	6089	17332
182	6121	17292
183	6154	17259
184	6186	17223
185	6221	17193
186	6284	17241
187	6323	17221
188	6358	17191
189	6389	17150
190	6421	17113
191	6452	17072
192	6481	17027
193	6514	16992
194	6547	16955
195	6576	16910
196	6607	16871
197	6640	16835
198	6672	16798
199	6703	16759
200	6735	16722
201	6767	16683
202	6795	16638
203	6827	16600
204	6861	16566
205	6890	16524
206	6921	16485
207	6953	16448
208	6983	16407
209	7015	16369
210	7049	16336
211	7081	16301
212	7114	16267
213	7142	16220
214	7173	16182
215	7204	16143
216	7237	16109
217	7267	16067
218	7300	16033
219	7330	15992
220	7361	15954
221	7392	15918
222	7428	15888
223	7458	15849
224	7488	15809
225	7515	15763
226	7566	15766
227	7602	15738
228	7636	15707
229	7666	15666
230	7698	15630
231	7727	15589
232	7757	15548
233	7784	15502
234	7816	15466
235	7846	15426
236	7877	15388
237	7910	15355
238	7941	15318
239	7968	15272
240	8002	15241
241	8032	15202
242	8063	15164
243	8096	15130
244	8125	15090
245	8157	15055
246	8190	15022
247	8220	14982
248	8250	14944
249	8280	14904
250	8312	14869
251	8342	14831
252	8374	14795
253	8405	14759
254	8436	14722
255	8466	14683
256	8495	14643
257	8524	14603
258	8556	14569
259	8584	14528
260	8613	14487
261	8642	14448
262	8671	14409
263	8701	14371
264	8734	14337
265	8781	14327
266	8814	14294
267	8851	14268
268	8890	14244
269	8919	14205
270	8950	14169
271	8980	14130
272	9009	14092
273	9039	14053
274	9071	14019
275	9101	13981
276	9128	13939
277	9159	13903
278	9190	13868
279	9217	13826
280	9251	13795
281	9283	13761
282	9317	13729
283	9346	13690
284	9377	13654
285	9410	13621
286	9440	13585
287	9467	13544
288	9496	13505
289	9526	13468
290	9555	13429
291	9585	13393
292	9618	13360
293	9647	13323
294	9680	13289
295	9708	13250
296	9739	13215
297	9768	13177
298	9796	13138
299	9827	13103
300	9855	13064
301	9888	13031
302	9917	12994
303	9946	12957
304	9971	12913
305	9999	12875
306	10028	12838
307	10054	12796
308	10090	12767
309	10135	12751
310	10166	12715
311	10193	12676
312	10224	12641
313	10254	12605
314	10285	12571
315	10314	12533
316	10341	12494
317	10368	12455
318	10400	12421
319	10429	12385
320	10453	12342
321	10484	12307
322	10514	12272
323	10543	12235
324	10571	12197
325	10597	12157
326	10624	12119
327	10653	12082
328	10683	12046
329	10710	12008
330	10738	11970
331	10769	11937
332	10797	11899
333	10828	11866
334	10858	11831
335	10887	11794
336	10912	11754
337	10943	11721
338	10972	11684
339	10999	11646
340	11029	11611
341	11056	11573
342	11087	11539
343	11117	11505
344	11144	11467
345	11168	11426
346	11193	11386
347	11225	11354
348	11255	11319
349	11282	11282
350	11311	11247
351	11350	11221
352	11385	11192
353	11408	11150
354	11436	11114
355	11460	11073
356	11489	11039
357	11514	10999
358	11543	10965
359	11570	10927
360	11599	10892
361	11627	10856
362	11656	10821
363	11685	10786
364	11712	10749
365	11741	10714
366	11769	10679
367	11801	10647
368	11827	10609
369	11858	10576
370	11886	10540
371	11911	10502
372	11942	10470
373	11971	10435
374	12000	10400
375	12024	10361
376	12050	10324
377	12081	10291
378	12110	10257
379	12132	10216
380	12157	10178
381	12186	10144
382	12210	10106
383	12241	10073
384	12269	10038
385	12297	10003
386	12324	9967
387	12348	9929
388	12372	9891
389	12399	9855
390	12423	9818
391	12448	9781
392	12511	9773
393	12540	9739
394	12565	9702
