iter	Passed	Remaining
0	19	11818
1	38	11377
2	56	11339
3	77	11540
4	98	11704
5	117	11642
6	135	11466
7	154	11402
8	171	11241
9	189	11165
10	207	11097
11	223	10950
12	240	10837
13	262	10983
14	284	11082
15	309	11314
16	329	11289
17	347	11223
18	365	11172
19	382	11099
20	400	11045
21	418	10990
22	435	10931
23	453	10873
24	470	10832
25	487	10767
26	504	10712
27	522	10665
28	539	10623
29	557	10584
30	574	10545
31	590	10488
32	608	10458
33	624	10403
34	642	10376
35	663	10393
36	682	10382
37	699	10350
38	717	10318
39	734	10286
40	753	10271
41	770	10236
42	788	10214
43	805	10183
44	826	10193
45	845	10178
46	863	10164
47	881	10134
48	899	10115
49	917	10096
50	935	10072
51	952	10042
52	970	10012
53	987	9983
54	1008	9995
55	1034	10050
56	1073	10223
57	1100	10282
58	1117	10249
59	1135	10221
60	1156	10219
61	1176	10206
62	1195	10190
63	1217	10200
64	1241	10218
65	1266	10248
66	1289	10255
67	1309	10247
68	1328	10220
69	1348	10206
70	1371	10219
71	1396	10237
72	1417	10231
73	1440	10240
74	1463	10245
75	1487	10252
76	1509	10254
77	1527	10224
78	1546	10197
79	1567	10186
80	1586	10165
81	1607	10152
82	1624	10118
83	1641	10085
84	1660	10062
85	1677	10027
86	1695	10000
87	1715	9982
88	1735	9966
89	1755	9949
90	1775	9931
91	1795	9913
92	1814	9889
93	1831	9859
94	1851	9840
95	1869	9815
96	1887	9788
97	1905	9758
98	1923	9734
99	1941	9707
100	1958	9677
101	1977	9652
102	1994	9621
103	2011	9593
104	2030	9573
105	2050	9555
106	2068	9530
107	2085	9501
108	2103	9476
109	2121	9450
110	2141	9432
111	2159	9410
112	2177	9383
113	2194	9355
114	2211	9325
115	2227	9296
116	2245	9270
117	2264	9247
118	2281	9220
119	2298	9193
120	2315	9164
121	2333	9144
122	2351	9118
123	2369	9095
124	2387	9072
125	2406	9051
126	2423	9025
127	2440	8999
128	2458	8977
129	2475	8951
130	2493	8925
131	2511	8905
132	2529	8882
133	2547	8857
134	2563	8830
135	2581	8807
136	2599	8784
137	2617	8762
138	2635	8741
139	2653	8719
140	2671	8695
141	2690	8677
142	2708	8656
143	2726	8634
144	2745	8615
145	2764	8596
146	2786	8587
147	2812	8588
148	2834	8578
149	2853	8561
150	2870	8535
151	2888	8514
152	2905	8488
153	2923	8467
154	2942	8447
155	2960	8426
156	2978	8403
157	2996	8383
158	3015	8364
159	3032	8339
160	3051	8321
161	3069	8297
162	3087	8276
163	3104	8254
164	3122	8231
165	3140	8210
